ID	Type	Types	English	Korean	FrenchReference	FrenchVariants	Occurrences	ResourceCount	ExampleResourcePath	ExampleLine	ExampleContext	SourceTanks	Note	Batch
b2aa4ea07685	String	String	to death.\n\n5. Thou shalt donate half of thy income to charity, or thou shalt	사형에 처해지리라.\n\n5. 수입의 절반을 자선에 기부하라. 그렇지 않으면			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	22	stringTool.Append(varContent$, "to death.\n\n5. Thou shalt donate half of thy income to charity, or thou shalt");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
1b4b0ef386ce	String	String	have no income.\n\n6. If thou dost lose thine own honor, thou shalt take thin	수입을 모두 잃으리라.\n\n6. 자신의 명예를 잃었다면 스스로			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	23	stringTool.Append(varContent$, " have no income.\n\n6. If thou dost lose thine own honor, thou shalt take thin");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
f30f89845439	String	String	e own life.\n\n7. Thou shalt enforce the laws of virtue, or thou shalt die as	목숨을 끊으라.\n\n7. 미덕의 법을 집행하라. 그렇지 않으면			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	24	stringTool.Append(varContent$, "e own life.\n\n7. Thou shalt enforce the laws of virtue, or thou shalt die as ");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
70aad1b75e6b	String	String	a heretic.\n\n8. Thou shalt humble thyself to thy superiors, or thou shalt suf	이단자로 죽으리라.\n\n8. 상관 앞에서 겸손하라. 그렇지 않으면			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	25	stringTool.Append(varContent$, "a heretic.\n\n8. Thou shalt humble thyself to thy superiors, or thou shalt suf");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
64ee785052fa	String	String	fer their wrath.\n\n\n\nThe Inquisition requires that information is to be ent	그들의 분노를 겪으리라.\n\n\n\n종교재판소는 정보를 반드시 다음 순서로만			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	26	stringTool.Append(varContent$, "fer their wrath.\n\n\n\nThe Inquisition requires that information is to be ent");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
4c49a42e049a	String	String	ered in this order only:\n\nDate of Imprisonment\nName and Towne,\nOccupation,	기록하도록 요구한다:\n\n수감일\n이름과 출신 도시,\n직업,			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	27	stringTool.Append(varContent$, "ered in this order only:\n\nDate of Imprisonment\nName and Towne,\nOccupation,");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
90ef1887e2dd	String	String	\nCrime(s),\nSentence,\nNotes.\n\n\n \nThe Inquisition sees all. Stay vigilant	\n범죄,\n형벌,\n비고.\n\n\n \n종교재판소는 모든 것을 보고 있다. 경계를 늦추지 말고			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	28	stringTool.Append(varContent$, "\nCrime(s),\nSentence,\nNotes.\n\n\n \nThe Inquisition sees all. Stay vigilant");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
5737f6c6b423	String	String	, and remember the fourth Code of Virtue: Thou shalt confess to thy crime and	미덕의 규율 제4조를 기억하라: 자신의 죄를 고백하고			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	29	stringTool.Append(varContent$, ", and remember the fourth Code of Virtue: Thou shalt confess to thy crime and ");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
d49856af51fe	String	String	suffer its just punishment, or thou shalt be put to death. Remember, thou art	정당한 형벌을 받으라. 그렇지 않으면 사형에 처해지리라. 명심하라,			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	30	stringTool.Append(varContent$, "suffer its just punishment, or thou shalt be put to death. Remember, thou art ");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
47973474c93a	String	String	serving Britannia, loyal guard.\n\n\nLong live Lord Blackthorn!\n\nGraesh, Cap	충성스러운 경비병이여. 그대는 브리타니아를 위해 봉사하고 있다.\n\n\n블랙쏜 경 만세!\n\n그래시, 경비			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	31	stringTool.Append(varContent$, "serving Britannia, loyal guard.\n\n\nLong live Lord Blackthorn!\n\nGraesh, Cap");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
44ee05b946d1	String	String	tain of the Guard.\n\n\n\nBegin Prison Log.\n\n\n\nSudi of Minoc\nTailor\nEigh	대장.\n\n\n\n수감 기록 시작.\n\n\n\n미녹의 수디\n재단사\n제8			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	32	stringTool.Append(varContent$, "tain of the Guard.\n\n\n\nBegin Prison Log.\n\n\n\nSudi of Minoc\nTailor\nEigh");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
8f6e32893ca2	String	String	th Law violation\nHumbling by Incarceration\nExpired.\n\n\nUnknown \nSpy\nUnkn	법 위반\n투옥을 통한 겸손의 형벌\n사망.\n\n\n신원 불명\n첩자\n출신			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	33	stringTool.Append(varContent$, "th Law violation\nHumbling by Incarceration\nExpired.\n\n\nUnknown \nSpy\nUnkn");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
6363c606d1c7	String	String	own\nTreason\nInterrogation, Stocks\nPrisoner refuses to divulge name - \nconf	불명\n반역\n심문, 형틀\n수감자가 이름 밝히기를 거부함 - \n처형			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	34	stringTool.Append(varContent$, "own\nTreason\nInterrogation, Stocks\nPrisoner refuses to divulge name - \nconf");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
a3c223c0dc21	String	String	essed to Treason before execution.\n\n\nLietta of Britain\nBaker\nFirst & Seve	전에 반역죄를 자백함.\n\n\n브리튼의 리에타\n제빵사\n제1법 및 제7			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	35	stringTool.Append(varContent$, "essed to Treason before execution.\n\n\nLietta of Britain\nBaker\nFirst & Seve");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
0ae63b232e06	String	String	nth violations\nPunishment One, Life Imprisonment\nExpired.\n\n\nCompton of Jh	법 위반\n제1형벌, 종신형\n사망.\n\n\n젤롬의 콤프턴			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	36	stringTool.Append(varContent$, "nth violations\nPunishment One, Life Imprisonment\nExpired.\n\n\nCompton of Jh");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
9afbca58e303	String	String	elom\nSailor (First Mate)\nTrespass\nInterrogation, Execution\nExpired.\n\n\nW	\n선원(일등항해사)\n무단침입\n심문, 처형\n사망.\n\n\n포			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	37	stringTool.Append(varContent$, "elom\nSailor (First Mate)\nTrespass\nInterrogation, Execution\nExpired.\n\n\nW");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
d86c810cb969	String	String	elter of Paws\nSailor (Cabin Boy)\nTrespass\nInterrogation, Recruitment\nRecru	즈의 웰터\n선원(캐빈보이)\n무단침입\n심문, 포섭\n포섭			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	38	stringTool.Append(varContent$, "elter of Paws\nSailor (Cabin Boy)\nTrespass\nInterrogation, Recruitment\nRecru");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
84c0da69fbd3	String	String	ited.\n\n\nCrabble (Itinerant)\nTinker\nFifth Law Violations (Several)\nTen ye	됨.\n\n\n크래블(방랑)\n땜장이\n제5법 위반(수차례)\n배급을			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	39	stringTool.Append(varContent$, "ited.\n\n\nCrabble (Itinerant)\nTinker\nFifth Law Violations (Several)\nTen ye");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
e00311026fb7	String	String	ars imprisonment on half rations, \nreview in five years.\nExpired. (Old Age)	절반으로 줄여 10년형, \n5년 후 재심.\n사망. (노환)			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	40	stringTool.Append(varContent$, "ars imprisonment on half rations, \nreview in five years.\nExpired. (Old Age)");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
d48ff3990d0f	String	String	\n\n\nEdward of Buccaneer's Den\nShip's Captain\nTreason\nPunishment Eight\nUn	\n\n\n버커니어스 덴의 에드워드\n선장\n반역\n제8형벌\n회개하지			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	41	stringTool.Append(varContent$, "\n\n\nEdward of Buccaneer's Den\nShip's Captain\nTreason\nPunishment Eight\nUn");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
df384601218a	String	String	repentant. \nExecuted.\n\n\nHassad of Skara Brae\nFormer Councilor\nTreason\nL	않음. \n처형됨.\n\n\n스카라 브레의 하사드\n전 평의원\n반역\n독방			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	42	stringTool.Append(varContent$, "repentant. \nExecuted.\n\n\nHassad of Skara Brae\nFormer Councilor\nTreason\nL");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
ebfdf457e271	String	String	ife imprisonment, solitary.\nNote: the Inquisition requests that\nHassad be ke	종신형.\n비고: 종교재판소는 하사드를\n엄중히			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	43	stringTool.Append(varContent$, "ife imprisonment, solitary.\nNote: the Inquisition requests that\nHassad be ke");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
07bdb4bc3245	String	String	pt under strict watch.\n\n\nTelrick of Yew\nTorturer, 2nd Class.\nSedition\nIn	감시할 것을 요청함.\n\n\n유의 텔릭\n고문관, 2급\n선동\n심			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	44	stringTool.Append(varContent$, "pt under strict watch.\n\n\nTelrick of Yew\nTorturer, 2nd Class.\nSedition\nIn");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
ed48519cf9d8	String	String	terrogation\nExpired during interrogation.\nNote: recruit new Torturer.\n\n\nG	문\n심문 중 사망.\n비고: 새 고문관을 모집할 것.\n\n\n크리키			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	45	stringTool.Append(varContent$, "terrogation\nExpired during interrogation.\nNote: recruit new Torturer.\n\n\nG");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
2cca704a5d85	String	String	orn of the Creaky Steppes\nBarbarian\nTrespass, Treason\nInterrogation\nNote:	스텝스의 고른\n야만인\n무단침입, 반역\n심문\n비고:			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	46	stringTool.Append(varContent$, "orn of the Creaky Steppes\nBarbarian\nTrespass, Treason\nInterrogation\nNote: ");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
b2f1a774243a	String	String	Compulsive Liar. Has escaped \nseveral times. Unsure of his\norigins. Interrog	상습적 거짓말쟁이. 여러 차례\n탈출함. 출신 불명.\n심문			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	47	stringTool.Append(varContent$, "Compulsive Liar. Has escaped \nseveral times. Unsure of his\norigins. Interrog");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
3cee0658c85b	String	String	ation continues.\n\n\nUnknown (Speech incomprehensible)\nMadman\nFirst, Third,	계속.\n\n\n신원 불명(말을 알아들을 수 없음)\n광인\n제1법, 제3법			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	48	stringTool.Append(varContent$, "ation continues.\n\n\nUnknown (Speech incomprehensible)\nMadman\nFirst, Third,");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
7eedce7aaf3a	String	String	and Eighth violations\nInterrogation, Recuitment\nRecruited \nAddendum: Expir	및 제8법 위반\n심문, 포섭\n포섭됨 \n추기: 사망			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	49	stringTool.Append(varContent$, " and Eighth violations\nInterrogation, Recuitment\nRecruited \nAddendum: Expir");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
1258f251dfda	String	String	ed.	.			1	1	world/global/lorebooks/lore_laz-blackthorn-palace-log.skrit	50	stringTool.Append(varContent$, "ed.");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_BODY_NOT_EXTRACTED	B096
4fd94bf46ca1	String	String	more...	　			1	1	world/global/lorebooks/lore_laz-theories-structure-magic.skrit	228	stringTool.Append(varContent$, "more...");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_ENGLISH_RESIDUAL; 앞선 한국어 조각에 의미가 이미 포함되어 있어 영문 잔존 삭제용 공백 1칸	B096
ad21953eb165	String	String	te...	　			1	1	world/global/lorebooks/lore_laz-chess-beginner.skrit	228	stringTool.Append(varContent$, "te...");	lazarus_logic.dsres	추출 QA 보강: LOREBOOK_ENGLISH_RESIDUAL; 앞선 한국어 조각에 의미가 이미 포함되어 있어 영문 잔존 삭제용 공백 1칸	B096
eac1e637043f	String	String	The Scepter! It's gone!	홀이! 사라졌다!			1	1	world/global/skrits/k_inc_shadowlords.skrit	334	report.screen("The Scepter! It's gone!");	lazarus_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
725a5d405bf0	String	String	As you play 'Stones' on the King's harpsichord, a secret door opens nearby!	왕의 하프시코드로 '스톤즈'를 연주하자, 근처의 비밀문이 열린다!			1	1	world/contentdb/components/lazarus/interactivity/harpsichord_music.skrit	104	report.screen("As you play 'Stones' on the King's harpsichord, a secret door opens nearby!");	lazarus_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
dddee128adb4	String	String	%s is carrying too much weight to move.	%s: 너무 많은 무게를 짊어져 움직일 수 없습니다.			1	1	world/ai/jobs/common/job_player_move.skrit	63	report.screenf ( "%s is carrying too much weight to move.", name$ );	britannia_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
f1ba42cd81d6	String	String	%s requires %d to %s	%s: %d 필요 (%s)			1	1	world/ai/jobs/common/job_player_equip.skrit	158	report.screenf ( "%s requires %d to %s", requirements$, level$, statistic$ );	britannia_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
79e2b6837677	String	String	%s's weapon has been corroded	%s의 무기가 부식되었습니다.			1	1	world/contentdb/components/britannia/combat/corrosion_attack.skrit	77	report.screenf("%s's weapon has been corroded", name$);	britannia_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
3b3e8a2ecdd8	String	String	%s's armor has been corroded	%s의 방어구가 부식되었습니다.			1	1	world/contentdb/components/britannia/combat/corrosion_attack.skrit	115	report.screenf("%s's armor has been corroded", name$);	britannia_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
287f4c048454	String	String	You do not have any lockpicks	자물쇠따개가 없습니다.			1	1	world/contentdb/components/britannia/interactivity/openable.skrit	309	report.screen("You do not have any lockpicks");	britannia_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
9eeab3b43e9c	String	String	There is something in the way.	앞을 가로막는 것이 있습니다.			1	1	world/contentdb/components/britannia/boats/water_nav_point.skrit	162	report.screen("There is something in the way.");	britannia_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
e44ad6be52ab	String	String	Failure. All party members need to be nearby.	실패. 모든 파티원이 가까이 있어야 합니다.			1	1	world/contentdb/components/britannia/spellcasting/spell_pb_teleport.skrit	372	report.screen("Failure. All party members need to be nearby.");	britannia_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
f66e4fc03eb3	String	String	%s does not have a spell book equipped.	%s: 마법서를 장착하지 않았습니다.			1	1	world/contentdb/components/britannia/spellcasting/knowledge_scroll.skrit	93	report.screenf("%s does not have a spell book equipped.",screenname$);	britannia_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
8c4a2feb9e7e	String	String	%s has reached level %d	%s: %d레벨에 도달했습니다.			1	1	world/contentdb/components/britannia/misc/shrine.skrit	94	report.screenf ( "%s has reached level %d", name$, level$ + 1 );	britannia_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
0734a34bc7f8	String	String	%s experiences an overwhelming rush of inner peace and calm.	%s: 마음 깊은 곳에서 강렬한 평온과 고요를 느낍니다.			1	1	world/contentdb/components/britannia/misc/shrine.skrit	105	report.screenf("%s experiences an overwhelming rush of inner peace and calm.",name$);	britannia_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
48d321a74267	String	String	That Quick Slot has not yet been assigned.	이 퀵 슬롯에는 아직 아무것도 지정되지 않았습니다.			2	2	ui/interfaces/backend/character_awp/character_awp.skrit	140	report.screen("That Quick Slot has not yet been assigned.");	britannia_logic.dsres	추출 QA 보강: RUNTIME_SCREEN_TEXT	B096
ff77068cebc3	UI/Text	UI/Text	The 'New Moon' moonstone is needed	‘신월’ 문스톤이 필요합니다.			1	1	ui/user_education_tooltips.gas	62	left_need_moonstone_new = "The 'New Moon' moonstone is needed";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
8e1fe2f305fb	UI/Text	UI/Text	The 'Waxing Crescent' moonstone is needed	‘초승달’ 문스톤이 필요합니다.			1	1	ui/user_education_tooltips.gas	63	left_need_moonstone_waxing_crescent = "The 'Waxing Crescent' moonstone is needed";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
8e4866097e68	UI/Text	UI/Text	The 'First Quarter' moonstone is needed	‘상현달’ 문스톤이 필요합니다.			1	1	ui/user_education_tooltips.gas	64	left_need_moonstone_first_quarter = "The 'First Quarter' moonstone is needed";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
8f5136f0094c	UI/Text	UI/Text	The 'Waxing Gibbous' moonstone is needed	‘차오르는 볼록달’ 문스톤이 필요합니다.			1	1	ui/user_education_tooltips.gas	65	left_need_moonstone_waxing_gibbous = "The 'Waxing Gibbous' moonstone is needed";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
921593f45781	UI/Text	UI/Text	The 'Full Moon' moonstone is needed	‘보름달’ 문스톤이 필요합니다.			1	1	ui/user_education_tooltips.gas	66	left_need_moonstone_full = "The 'Full Moon' moonstone is needed";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
e447a243e0e5	UI/Text	UI/Text	The 'Waning Gibbous' moonstone is needed	‘기우는 볼록달’ 문스톤이 필요합니다.			1	1	ui/user_education_tooltips.gas	67	left_need_moonstone_waning_gibbous = "The 'Waning Gibbous' moonstone is needed";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
280518f5cbaf	UI/Text	UI/Text	The 'Third Quarter' moonstone is needed	‘하현달’ 문스톤이 필요합니다.			1	1	ui/user_education_tooltips.gas	68	left_need_moonstone_third_quarter = "The 'Third Quarter' moonstone is needed";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
bc55b805dc96	UI/Text	UI/Text	The 'Waning Crescent' moonstone is needed	‘그믐달’ 문스톤이 필요합니다.			1	1	ui/user_education_tooltips.gas	69	left_need_moonstone_waning_crescent = "The 'Waning Crescent' moonstone is needed";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
45a6cb529cf3	UI/Text	UI/Text	Higher Dexterity increases ranged weapon accuracy and Armor Rating.	민첩이 높을수록 원거리 무기 명중률과 방어도가 증가합니다.			1	1	ui/user_education_tooltips.gas	109	text_dex = "Higher Dexterity increases ranged weapon accuracy and Armor Rating.";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
6a5329845cc7	UI/Text	UI/Text	Use ranged weapons to increase Dexterity.	원거리 무기를 사용하면 민첩이 증가합니다.			1	1	ui/user_education_tooltips.gas	110	character_dex_value = "Use ranged weapons to increase Dexterity.";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
591e29f19c7f	UI/Text	UI/Text	Higher Intelligence increases mana reserves.	지능이 높을수록 최대 마나가 증가합니다.			1	1	ui/user_education_tooltips.gas	112	text_int = "Higher Intelligence increases mana reserves.";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
2ab564288c4f	UI/Text	UI/Text	Cast spells to increase Intelligence.	주문을 시전하면 지능이 증가합니다.			1	1	ui/user_education_tooltips.gas	113	character_int_value = "Cast spells to increase Intelligence.";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
9a93bc8f0bf3	UI/Text	UI/Text	Higher Strength increases melee damage.	힘이 높을수록 근접 공격 피해가 증가합니다.			1	1	ui/user_education_tooltips.gas	115	text_str = "Higher Strength increases melee damage.";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
46ef2f5be45e	UI/Text	UI/Text	Use melee weapons to increase Strength.	근접 무기를 사용하면 힘이 증가합니다.			1	1	ui/user_education_tooltips.gas	116	character_str_value = "Use melee weapons to increase Strength.";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
376a8b14408c	UI/Text	UI/Text	Gray bar indicates progress toward next Melee skill level	회색 막대는 다음 근접 전투 기술 레벨까지의 진행도를 나타냅니다.			1	1	ui/user_education_tooltips.gas	118	text_skill_melee = "Gray bar indicates progress toward next Melee skill level";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
6638750effc3	UI/Text	UI/Text	Gray bar indicates progress toward next Nature Magic skill level	회색 막대는 다음 자연 마법 기술 레벨까지의 진행도를 나타냅니다.			1	1	ui/user_education_tooltips.gas	119	text_skill_nature = "Gray bar indicates progress toward next Nature Magic skill level";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
dd94a207272a	UI/Text	UI/Text	Gray bar indicates progress toward next Combat Magic skill level	회색 막대는 다음 전투 마법 기술 레벨까지의 진행도를 나타냅니다.			1	1	ui/user_education_tooltips.gas	120	text_skill_combat = "Gray bar indicates progress toward next Combat Magic skill level";	lazarus_logic.dsres	추출 QA 보강: CUSTOM_UI_TOOLTIP	B096
